# =*= AGENT TRAINING =*=
#
# = TRAINING PARAMETERS =
#  * Agent type: reactive
#  * Dataset used: gibson
#  * Training length: 3000 episodes
#  * Date / hour: 2021-09-06_13:24:32
# = ADDITIONAL PARAMETERS =
#  * reward_method: column
#  * prioritized: True
#  * collisions: True
#
# = EPISODE TRAINING RESULTS

episode,time_taken,actions_taken,initial_goal_distance,final_goal_distance,distance_travelled,successful,average_reward
308,0.861121416091919,6,5.710692,6.195136,-0.48444414,False,-29.938776235018697
309,0.7123453617095947,5,2.267342,2.9840202,-0.71667814,False,-36.67576228161033
310,0.2889404296875,2,11.363747,11.363747,0.0,False,-50.20212666832629
311,0.14272856712341309,1,4.6193967,4.6193967,0.0,False,-100.0
312,0.4255342483520508,3,5.48783,5.5545077,-0.06667757,False,-66.75
313,0.5707457065582275,4,8.3756275,8.3756275,0.0,False,-25.467919285338667
314,0.14359545707702637,1,11.850366,11.850366,0.0,False,-100.0
315,0.14423060417175293,1,13.392906,13.392906,0.0,False,-100.0
316,0.14296698570251465,1,15.335377,15.335377,0.0,False,-100.0
317,0.28551411628723145,2,11.344882,11.344882,0.0,False,-50.125
318,0.14345288276672363,1,2.893175,2.893175,0.0,False,-100.0
319,0.14313244819641113,1,10.994792,10.994792,0.0,False,-100.0
320,0.14433622360229492,1,4.263965,4.263965,0.0,False,-100.0
321,1.1407408714294434,8,3.9991796,3.7622385,0.2369411,False,-26.040124463296245
322,0.143310546875,1,7.7606306,7.7606306,0.0,False,-100.0
323,0.1453850269317627,1,3.7702146,3.7702146,0.0,False,-100.0
324,0.7109153270721436,5,10.643527,10.643527,0.0,False,-18.609085297214506
325,0.42769408226013184,3,7.711457,7.3530245,0.3584323,False,-26.666666666666668
326,1.993952751159668,14,3.19387,3.0128796,0.18099046,False,-8.096324913554431
327,1.0025157928466797,7,3.8142927,4.097127,-0.2828343,False,-21.428571428571427
328,2.4237260818481445,17,4.461715,4.440726,0.020989418,False,-5.858669512050252
329,0.14462852478027344,1,3.4636157,3.4636157,0.0,False,-100.0
330,0.2876763343811035,2,4.0290084,4.0290084,0.0,False,-45.468794257536274
331,0.14529633522033691,1,12.344046,12.344046,0.0,False,-100.0
332,0.14371180534362793,1,12.912584,12.912584,0.0,False,-100.0
333,0.2887754440307617,2,2.8028789,2.8028789,0.0,False,-45.0
334,1.0058767795562744,7,4.1921635,4.049712,0.14245129,False,-12.794036238536412
335,0.28721094131469727,2,14.4363165,14.4363165,0.0,False,-48.80504251544198
336,0.1444542407989502,1,7.107886,7.107886,0.0,False,-100.0
337,0.4310755729675293,3,8.354052,8.354052,0.0,False,-29.482345981316104
338,0.28743433952331543,2,4.280594,4.280594,0.0,False,-50.37612648668639
339,0.2874431610107422,2,8.134775,8.134775,0.0,False,-51.35306342416436
340,0.28833746910095215,2,7.1343846,7.1343846,0.0,False,-50.37515539383054
341,0.28822755813598633,2,4.303148,4.5017385,-0.19859076,False,-70.63984122765046
342,0.4321098327636719,3,8.854129,8.611786,0.24234295,False,-29.874812209749205
343,0.2895801067352295,2,4.0891805,4.133409,-0.044228554,False,-53.989742713741464
344,0.28853297233581543,2,4.1851683,4.2640543,-0.07888603,False,-100.0
